index,text,raining,raining_station,relevance_hand
0,"A Chinese proverb relevant today ""When small people cast long shadows, the sun is setting""",1.0,1.0,1
1,A Deeper Look at the Snow Situation in Dubrovnik https://t.co/dznGQuYlPF,0.0,0.0,1
2,"@MrLender #WIN A Flotilla holiday with my husband @boatsailfish &amp; son Arran 
 ( before he goes to Uni ). Bring on the sun! :) https://t.co/iNij4mcVBC",0.0,0.0,1
3,A Friday snow day would be decent 🙌🙌🙌🙌,1.0,0.0,1
4,A Lebanese snowman enjoying his hookah despite the snow: I so love it! https://t.co/7dEAraLvTw,0.0,0.0,1
5,A Lightning and an E-Type. Can I start again from when I was 18. Picture now much clearer. https://t.co/1vEJomtokS,0.0,0.0,1
6,"A MONTH OF VACATION FROM WORK IS STANDARD IN EVERY OTHER COUNTRY IN THE WESTERN WORLD AND ALSO THERE IS N O T H I N G WRONG WITH SNOW, TAMMY https://t.co/DpT5KX4Nk5",0.0,1.0,1
7,@linda_burns A+ Planning to be uptown on Friday........ if the snow keeps away lol,1.0,1.0,1
8,"A Pretty Smiley🌞 Sunset 🌅 East London🇬🇧 iPhone📱Photography. @007kabz #007kabz .
.
.
.
.
#london… https://t.co/BJSNDYNFm6",0.0,0.0,1
9,"A Quick Break 
===========

Love how I can walk on the beach and grab some sun between work and… https://t.co/TG1urnyXwP",0.0,0.0,1
10,"A S:
Imam Khomeini:
If muslims were united and each one had poured a bucket of water on Israel, a flood would have taken Israel away. https://t.co/avmhgr2QTb",0.0,0.0,1
11,@theyearinbooks A2. A Snow Garden - Rachel Joyce. Love how stories slightly overlap  plus Nigel by Monty Dog as wonderful heartfelt book #theyearinbooks,0.0,0.0,1
12,A Sunny film made by the lad https://t.co/86gDE63agh,0.0,0.0,1
13,A Winter wonderland and fresh air #Caithness #instascotland #photography #WinterWonderland #highlands #nc500 #scotland #snow #landscape https://t.co/7p9buWL4g2,1.0,0.0,1
14,"A balmy 7 degrees forecast for #Alston #Cumbria tomorrow, breakout the deckchairs &amp; factor 15.",1.0,0.0,1
15,A beautiful January afternoon in the #LakeDistrict. Over Derwent Water to snow capped Skiddaw https://t.co/jN1byq52y9,0.0,0.0,1
16,A beautiful day in Glasgow today ☀️ #sunshine #beautiful #botanicgardens #kibblepalace #glasgow… https://t.co/LxIkJp9bi2,0.0,0.0,1
17,A beautiful day in Southampton. #southampton #nofilter #kutis #sun #bluesky #sea @ Kuti's Royal… https://t.co/4Aqa8syLYA,0.0,0.0,1
18,A beautiful evening in the valley but still no sign of snow at the lower levels #snow… https://t.co/5w6XpXsYzK,0.0,0.0,1
19,A beautiful morning here in Seaford #frost #sun #shadows #seaford #newhaven #sussex @ Seaford… https://t.co/1VdwNPAe4a,0.0,0.0,1
20,A beautiful morning out in Hampton Court #Sunny #Winter #Frost @… https://t.co/ZJuQaO3HmF,0.0,0.0,1
21,"A beautiful, sunny day and an afternoon in Clumber Park. Just lovely.",0.0,0.0,1
22,"A beautiful, sunny day in Essex. 

Going to miss my county, off I go tomorrow for The Jump ⛷ ✈️… https://t.co/kzUwc8wT1T",0.0,0.0,1
23,A beautiful sunny ☀️ day like today calls for a bright red lipstick 💄 like elizabethardenuk Bold… https://t.co/17e1ICcpMY,0.0,0.0,1
24,"A beautiful sunny day today, and got a charcoal sketch in too #art https://t.co/lP6O0Pmvjv",0.0,0.0,1
25,A beautiful #hike to the top of #PenYFan and #cribyn today. #breconbeacons #wales #travel #snow #winter #bankholiday https://t.co/VrhIBSTk0Q,0.0,0.0,1
26,A beautiful view from my teaching room here @Nrw_Cathedral - nice to have some snow actually!… https://t.co/XcV3ZzbC5I,1.0,1.0,1
27,A beautiful winters walk in the sun. #reeds #rollinggreenhills #englishcountryside #isleofwight… https://t.co/8LESMDRA6h,0.0,0.0,1
28,A beautiful wintry sunrise over Sandy Lane #Bradford. Who needs a beach when you have fields of snow 14/1 @hiddenbradford #bradfordphotoaday https://t.co/rxiyZYYN0G,1.0,1.0,1
29,@eops A better future? Give our children a sunny smile ⚡️,1.0,0.0,1
30,"@bbcweather @DerekTheWeather
A better sunrise to start 2017 was on the forecast so we hiked up to #MoelArthur for breakfast &amp; a trail run.🌄☕ https://t.co/Kp3VirAcWC",0.0,0.0,1
31,"A big mixed leaf, tomato, cucumber and spring onion salad. Drizzle of balsamic ginger too.… https://t.co/FYoFFx9VNJ",0.0,0.0,1
32,"😀A big shout out to @AdventureFarm  #charitytuesday A fantastic children's charity providing fun, sunshine &amp; holidays #Cheshire ☀️☀️☀️",0.0,0.0,1
33,"A bird to watch over you on this frosty morning. 

#cold #frost #snow #winter #ice #bird #birds… https://t.co/4kIF3c3Uqq",0.0,0.0,1
34,A bit chilly but the sun is shining and our CSA programme is back in full swing come to a session this week (Eddy woods Thurs @ 6:30) https://t.co/jwdWhhnEa5,0.0,0.0,1
35,A bit disappointed with the amount of snow we had. Not even enough to build a snowman ⛄️,0.0,0.0,1
36,@Granger72Jason A bit early to say yet. The countryfile forecast later will be worth watching!,0.0,0.0,1
37,A bit of Sunday night joy. Homemade lemon slices. A tiny bit of sunshine ☀️ #sundayeveningblues https://t.co/LGKUhqTm8v,0.0,0.0,1
38,A bit of a contrast to yesterday's sunny picture... It's a little nippy here in #burryport… https://t.co/N8PyzeSsJ1,0.0,0.0,1
39,A bit of a heads up for those thinking about some early sun in 2017 or just looking to keep a… https://t.co/HRdAII100l,0.0,0.0,1
40,A bit of cold rain on top of the long icy spell....surfaces very slippy. Take care all!,1.0,0.0,1
41,A bit of frosting on the winery this evening #snow #hampshire https://t.co/L58jb7q7Tt,1.0,0.0,1
42,A bit of light reading on a sunny Thursday morning #DRC #lovecongo https://t.co/radxB9TvQR,0.0,0.0,1
43,A bit of rain never stopped anyone. Kids enjoying hotdogs for Emily's birthday! @ Worthington Park https://t.co/c4LO35dCr4,0.0,0.0,1
44,A bit of snow a London will grind to a halt tomorrow. Welcome to the real world.,0.0,0.0,1
45,A bit of snow and #reigate come to a stop,1.0,0.0,1
46,A bit of snow and everyone in Londons running into each other like idiots,1.0,1.0,1
47,#StopThePress A bit of snow has fallen! Now waiting on the world to stop spinning and utter chaos to ensue... 🙈☃️ https://t.co/nMSALOKCGn,1.0,0.0,1
48,A bit of snow here not too bad https://t.co/25sjym7e5e,1.0,0.0,1
49,A bit of snow here outside my studio today but there's a lot of snow up on the Cleveland Hills in the North York Moors ❄❄❄ https://t.co/xW1bJVZTjR,0.0,0.0,1
50,"A bit of snow is ""snow"" excuse for bad parking 😂😂 see what I did there 😂😂 #snowexcuse… https://t.co/erLJmENw6j",0.0,0.0,1
51,"A bit of snow might mean I can't cycle in, but at least I get a pretty view or two :) #robincam #snowday #york https://t.co/cw9E4DFb5B",0.0,0.0,1
52,A bit of snow on the ground and the whole of my social media goes on a craze,1.0,1.0,1
53,A bit of snow on the rolling contours of the Aberdeenshire hills this morning. #olympusuk @… https://t.co/MpylElMW07,0.0,0.0,1
54,A bit of #snow to cheer us up during #examperiod ❄️🎓📚Best of luck to our #students @uwtsd #lampeter @StudyUWTSD #goodtimes @UWTSDStudents https://t.co/73yoGQfnyc,1.0,1.0,1
55,"A bit of snow won't stop us!
Classes are all ON today as normal and we will be in touch in… https://t.co/cL1nRNs7Qn",0.0,0.0,1
56,A bit of sunshine makes you feel happier. Even if it is still January. 🌞,0.0,0.0,1
57,A bit of wind and rain isn't going to put us off!!💨🌧 https://t.co/A2KvRKDvNP,1.0,1.0,1
58,A bit o'snow had fallen #snow #tyretracks #snowtracks #preston @… https://t.co/zWFXEwECZg,0.0,0.0,1
59,"A bitterly cold day, temps near freezing and a fresh SE'ly adding a biting chill. Frosty o/night, warming with sunny spells &amp; shwrs from Fri",0.0,0.0,1
60,"2/3 A bitterly cold night &amp; day with near gale force NW'ly winds &amp; rain, sleet &amp; snow showers. Sunny spells but a biting windchill all wkend",0.0,0.0,1
61,A blackberry and honey granola cake with a very fine sprinkling of morning snow here at HQ.… https://t.co/oLeLrJ3IJe,1.0,1.0,1
62,A blizzard approaches the Annalong Valley https://t.co/EN3AcOMH12,0.0,0.0,1
63,"A blizzard comes down,
wiping the world's face to white.
No birds come to feed. 

#DailyHaiku",1.0,1.0,1
64,"A bluster of hail
carried in a cold north wind.
Even the birds hide.

#DailyHaiku",0.0,0.0,1
65,"A bracing -6C in Headcorn currently, colder rurally. Sunny &amp; just 2C today in a light E/SE breeze. Frosty tonight, sunny &amp; 5C on Sunday.",0.0,0.0,1
66,A break in the rain meant we managed a small walk around the amazing prestoncourtweddingvenue.… https://t.co/WtKGB1sYzc,0.0,0.0,1
67,"A brief glimpse of the sun early this afternoon @TheEyebrook with just a hint of spring in the air 
#FridayFeeling https://t.co/JY5sGCZk8Q",0.0,0.0,1
68,"A bright clear and warm sunny day. 3 degrees C 😂😂 @ Leamington Spa, Warwickshire https://t.co/a1vBB5h8s9",0.0,0.0,1
69,"A bright #sunshine and cloud day forecast, breezy at times but still lovely #walking weather. a busy day for me but will fit a short walk in",0.0,0.0,1
70,"A brutal saw chomping through my bark
and the snow slides off me like a silken robe

Roger McGough 
https://t.co/ID2s4YettS
#Snowmageddon",1.0,1.0,1
71,"A busy New Years Day aboard Alton, sees us only heading out of Marple as the sun heads towards… https://t.co/Op29DsMZIF",0.0,0.0,1
72,A chilly but sunny morning using the #air2g2 a modern equivalent to greens aeration but with no… https://t.co/6Knb6HK8ym,0.0,0.0,1
73,"A @bbcmtd #weather #photo, chosen by @BeccyWoodTV, is from Ros Chimes in #Leek
#terrier #snow… https://t.co/PIAdhhIajn",1.0,0.0,1
74,"A city walk in the sun....stunning!

#gherkin #London https://t.co/lNIIJUATEM",0.0,0.0,1
75,"@holybible8888 A cloudy day for me and some drizzle, I hope its been much better for you today",0.0,0.0,1
76,"A cold &amp; frosty start, sunny highs of 6C in a fresh W'ly. A frosty night, sunny &amp; 6C Wed. Sunny cold days &amp; frosty nights, shwrs by Saturday",0.0,0.0,1
77,"A cold &amp; frosty sunrise this morning ☀️☀️
.
Lying on the ground to get this shot could explain… https://t.co/JgM5Vb6UIH",0.0,0.0,1
78,A cold and wintry #labourdoorstep today in central Glossop - with snow to boot at end☃. Lots of valuable chats and casework to follow up on. https://t.co/6jYkhZwlBl,0.0,0.0,1
79,A cold field 🌕❄️ #field #landscape #moonlight #night #snow #cold #winter #january @ Cobbinshaw… https://t.co/Ib4iKmOi95,0.0,0.0,1
80,"A cold misty start, wintery shwrs turning to rain, highs of 8C in a fresh &amp; variable wind. Sunny spells &amp; wintery shwrs Mon, 6C.",1.0,1.0,1
81,A cold morning and the sun's first rays shine over a field of sheep. @ Draycott Photography https://t.co/ZlZujW4mjh,1.0,1.0,1
82,"A cold morning walk
#cold #sunny #bobblehat #sunglasses #seafordbeach @ Seaford Beach https://t.co/Q321JadGd2",0.0,0.0,1
83,"A cold start, icy conditions. Further snow this morning blowing around in a strong to nr gale NW'ly. Temps of 5C feeling like -6!",0.0,0.0,1
84,A cold sunny afternoon in Richmond Park. Putting the new Boardman Comp thought its paces. Thanks… https://t.co/yapNBelj5f,0.0,0.0,1
85,A cold sunny day ☃️☀️ #FamilyDayOut @ Buckingham Palace https://t.co/Ce2egkls14,0.0,0.0,1
86,"A colourful end to a bright, sunny day #carsingtonwater #derbyshiredales #derbyshire #sunset… https://t.co/aaCY6K0f9L",0.0,0.0,1
87,A cool minus 2.5 degrees today. Snow ❄️,0.0,0.0,1
88,A cool picture of one of our JLG's! #cherrypicker #gtaccess #picoftheday #scissorlift #sunny… https://t.co/pXYuQY8OUc,0.0,0.0,1
89,A cosy little rendez-vous for sneaky  refreshment out of the rain #dorchester @DorchesterBID,1.0,1.0,1
90,"A cosy room for the night, snow holing in Scotland. #adventure #explore #expedition #travel… https://t.co/RkwzzqdZyn",0.0,0.0,1
91,A cosy snuggle in front of the fireplace on that rain Sunday. #dogslife #rainydays #fireplace… https://t.co/BTpGKQLcxU,1.0,1.0,1
92,@josefinlustig A couple of hours of sun would do me 😂,0.0,0.0,1
93,A couple of showers of snow in Inverness and the place comes to a stand still!! People driving at 20mph!! I like to be safe but Cmon!!,0.0,0.0,1
94,A covering of snow been reported from the dales this evening. Have u had any snow where u are ?? #uksnow #snow #wintry ❄️,1.0,0.0,1
95,A cozy day of rain and cinema with @bloomzy_ who's becoming a life coach after watching… https://t.co/XKnnrQYZzA,1.0,0.0,1
96,"A crisp, sunny start to #pedalcarolympics @Thriftwoodcamp. We're all really excited (except Rudy, who's still asleep)! #Rudysmissingbrekkie https://t.co/AyYHNXUwmB",0.0,0.0,1
97,@Moorepay #BlueComp  A cup of tea in the garden when the sun's shining makes me happy https://t.co/KbUDOjnibL,0.0,0.0,1
98,A cuppa and a delicious alfajor is the perfect treat to beat this rain. Drop me a lone if you… https://t.co/BGFbcwPT4U,1.0,1.0,1
99,A dab of snow 🙂 https://t.co/zuX02CXWFL,1.0,1.0,1
100,A damp #inthesaddle #Billinge #Drizzle @ Otterspool Promenade https://t.co/7d56Joz25W,0.0,0.0,1
101,A damp night ahead but its finally getting milder temp now 8c. Rain clearing tomorrow. Rain Thurs. 60% chance of h rain and Gales on Friday,1.0,1.0,1
102,"A day full of rain, #copywriting ..again but almost ready to push our #franchise thoughts into #web and legal teams 😀 Roll on #spring",0.0,1.0,1
103,"A day like today is just asking to end up on instagram .... sunny and clear blue sky, as winter… https://t.co/KJHFQcJi26",0.0,0.0,1
104,@WindyWilson88 A #cloudy #grey day on #LochLong in #Cove #Argyll woke up to #snow on the hills #InWindyWeTrust 😀 https://t.co/J6pFymsIxd,1.0,0.0,1
105,A difficult day ahead for residents at #FloodRisk. 12 severe flood warnings. Let's hope it's not as bad as forecast. https://t.co/nR6c76jyde,1.0,0.0,1
106,"""A disgusting type a cake like a lemon drizzle""

No wonder your bloody single",0.0,0.0,1
107,"A #drawing done earlier in #Charcoal. Study for a new #print, I think. A track in the #snow https://t.co/YRwnGH7AfU",0.0,0.0,1
108,"@jet2tweets A dose of sun, a dash of sunbathing, a sprinkle of siteseeing &amp; cherry on top knowing Jet2 gives u all that #spreadthesunshine",0.0,0.0,1
109,"A downpour of unending grace
Consuming all my reckless ways,
My sins submerged
Your love has saved my soul
Your love is like a storm",0.0,0.0,1
110,A dreich looking day in Paisley but no rain forecast for @saintmirrenfc vs Queen of the South from 2:50pm on @StMirrenTV #COYS https://t.co/APZlox2ozc,0.0,0.0,1
111,"A drop of snow and the traffic gets trafficyyyy @ Brentwood, UK https://t.co/ytrYpsIc7C",1.0,1.0,1
112,"A dry cloudy forecast for today, brighter than Tueday and the dry weather should continue until monday. Brilliant News. Have a great day",0.0,0.0,1
113,"A dry start to the morning, #rain has set in now, I missed most of it. Still not cold temps around 6 c, so no sign of any #snow yet",1.0,1.0,1
114,"A dusting of snow 🙌🏼❄️ @ Kington, Monmouthshire, United Kingdom https://t.co/sbkP78hiYp",1.0,0.0,1
115,A dusting of snow &amp; very windy conditions on Dunkery Beacon last Friday. Seemingly we were the only ones mad enough to be out on the hill! https://t.co/tVWE18U6Tx,0.0,0.0,1
116,A dusting of #snow from atop the Tower @GreatStMarys #Cambridge #WeatherWatchers  https://t.co/KhA3IUm5pC,1.0,1.0,1
117,A dusting of snow on a movie set?  #photography https://t.co/45N87CNP7w,1.0,1.0,1
118,A dusting of #snow today in #Swaledale #YorkshireDales @ Reeth https://t.co/SyFH6zvDb2,0.0,0.0,1
119,A family watchthe #sun set on another day in West #Yorkshire  #Wakefield  #Huddersfield  #Leeds #Emley  #Emleymoormast #winter #Winterwatch https://t.co/DPOGVn1TWi,0.0,0.0,1
120,"A fantastic job done by our teams in the snow ❄️️ today, especially Keighley who were hit (as usual) particularly badly by the white stuff! https://t.co/YILMh1vyEv",0.0,0.0,1
121,A favourite 10k around Bledington this morning thankfully before the rain... #running #bledington https://t.co/igvYFZ26ox,1.0,1.0,1
122,"A few flakes of snow and this (might not actually be reason, but it's better than it just being @SouthernRailUK). Where are the trains?? https://t.co/wnAzGUyBIP",1.0,0.0,1
123,A few flakes of snow falling in that there London.Not enough to cause wholesale disruption but certainly enough to grovel to go home early.,1.0,1.0,1
124,"A few flakes of snow in Swainswick, Bath, not yet as bad as Jan 2013! @BathChron https://t.co/F93medbuw7",1.0,0.0,1
125,A few flakes of snow just fell. If this was the south of UK everything would stop and emergency declared. But this is the north. We carry on,0.0,0.0,1
126,"A few interesting clips from @merseygateway site yesterday, shame the sun didn't come out but still nice to show off the project @COWI_UK https://t.co/4qQdI8Qplm",0.0,0.0,1
127,A few more snaps taken during snowstorm earlier today. We don't see snow often!  It's going to be a rough night. Take care all. https://t.co/pshR3nEs2a,0.0,0.0,1
